name,county,latitude,longitude,year,acres,structures
Rim Fire,Tuolumne,37.857,-120.086,2013,257314,
Powerhouse Fire,Los Angeles,34.585595,-118.423176,2013,30274,
Mountain Fire,Riverside,33.7095,-116.72885,2013,27531,
American Fire,Placer,39.12,-120.65,2013,27440,
Springs Fire,Ventura,0,0,2013,24251,10
Aspen Fire,Fresno,37.279,-119.318,2013,22992,
Silver Fire,Riverside,33.86157,-116.90427,2013,20292,40
Salmon River Complex,Siskiyou,41.32,-123.176,2013,14754,
Corral Complex,Humboldt,41.035,-123.488,2013,12503,
Deer Fire,Tehama,40.04263,-121.85397,2013,11429,
Clover Fire,Shasta,40.498332,-122.535496,2013,8073,201
Chariot Fire,San Diego,32.95435,-116.47381,2013,7055,149
Panther Fire,Tehama,40.190062,-121.595555,2013,6965,
Grand Fire,Kern,34.7861,-118.9411,2013,4346,
Grand Fire,Ventura,34.7861,-118.9411,2013,4346,
McCabe Fire,Sonoma,38.8167,-122.8498,2013,3505,1
Summit Fire,Riverside,34.288877,-116.941311,2013,3166,1
Morgan Fire,Contra Costa,37.90757,-121.882582,2013,3111,
San Felipe Fire,San Diego,33.12111,-116.52579,2013,2781,
Swedes Fire,Butte,39.446268,-121.38236,2013,2462,7
DeLuz Fire,San Diego,33.341,-117.3092,2013,2236,
Fish Fire,Tulare,36.208,-118.444,2013,2060,
White Fire,Santa Barbara,34.55048,-119.82429,2013,1984,
Carstens Fire,Mariposa,37.58202,-119.91071,2013,1708,
Falls Fire,Riverside,33.62236,-117.40288,2013,1383,
General Fire,San Diego,33.04458,-116.5209,2013,1271,
Power Fire,Tuolumne,38.25108,-120.02778,2013,1070,
Pfeiffer Fire,Monterey,0,0,2013,917,
Shirley Fire,Kern,35.707,-118.588,2013,794,
Rancho Fire,Kern,34.882,-118.9194,2013,712,
Lake Fire,Los Angeles,34.49149,-118.610044,2013,712,
Water Fire,Kern,34.90327,-118.93388,2013,612,
Kyburz Fire,El Dorado,38.774,-120.298,2013,572,
Mills Fire,San Bernardino,34.071556,-117.048397,2013,534,0
Plumas Lightning Complex (Hough),Plumas,40.00842,-120.764666,2013,513,
Gorgonio Fire,Riverside,33.894055,-116.855019,2013,510,
Fox Fire (formally 3-7 Fire),Modoc,41.2415,-121.035,2013,502,
Branch Fire,San Luis Obispo,35.15832,-120.05131,2013,500,
Kirker Fire,Contra Costa,37.96866,-121.91453,2013,492,
Rolling Fire,Madera,37.015575,-119.78106,2013,482,1
Gobblers Fire,San Bernardino,34.302,-117.598,2013,413,
River Fire,Inyo,36.602575,-118.01651,2013,406,0
Putah Fire,Napa,38.628,-122.289,2013,376,
Tres Pinos Fire,San Benito,37.160346,-120.937494,2013,354,
Jurupa Fire,Riverside,0,0,2013,311,
Summit Fire,Butte,39.439,-121.497,2013,305,4
Shelton Fire,San Joaquin,38.04993,-120.90325,2013,303,
Lone Fire,Butte,39.434183,-121.576804,2013,298,9
Becks Fire,Lake,0,0,2013,296,
Concord Fire,Contra Costa,39.90465,-121.74367,2013,274,
Gold Fire,Madera,37.116295,-119.635004,2013,274,
Madre Fire,Los Angeles,34.149,-117.908,2013,268,
Lyon Fire,San Diego,32.710918,-116.746023,2013,263,
Sharp Fire,San Bernardino,34.35,-117.62,2013,243,
Vasco Fire,Alameda,37.775057,-121.737213,2013,240,
PFE Fire,Placer,38.729297,-121.380862,2013,237,
Daves Fire,Glenn,0,0,2013,226,
306 Fire,Glenn,39.514139,-122.560862,2013,217,
Tassajara Fire,Monterey,0,0,2013,213,
Sierra Fire,San Bernardino,34.2,-117.417,2013,200,
Vina Fire,Tehama,40.012398,-122.079871,2013,200,
Burney Lightning Series (Warner Fire),Shasta,40.5445,-121.3754,2013,196,
Paskenta Fire,Tehama,39.961309,-122.330879,2013,195,
Silverado Fire,Napa,38.382,-122.311,2013,190,1
Olive Fire,Santa Barbara,34.611824,-120.074655,2013,170,
Capay Fire,Yolo,38.67479,-122.08725,2013,163,
50 Fire,El Dorado,38.63987,-121.08438,2013,163,
50 Fire,Sacramento,38.63987,-121.08438,2013,163,
Crane Fire,Sonoma,38.34599,-122.6503,2013,159,
Lakeville Fire,Sonoma,38.17693,-122.51253,2013,158,
Highland Fire,Alameda,0,0,2013,150,
Redlands Fire,Riverside,33.990128,-117.164997,2013,150,
Diablo Fire,Stanislaus,37.436,-121.1955,2013,150,
George Fire,Fresno,36.7218,-119.2248,2013,150,
Neal Fire,Butte,0,0,2013,150,
Magic Fire,Los Angeles,34.419284,-118.58688,2013,149,
Angora Fire,Tulare,36.258,-118.459,2013,134,
Yellow Fire,Sonoma,38.638828,-122.655616,2013,125,
California Fire,Solano,38.08744,-122.13802,2013,124,
152 Fire,Merced,37.03776,-121.006939,2013,124,
Smiley Fire,Riverside,33.963591,-117.187934,2013,124,
Cantwell Fire,Lake,38.882214,-122.567525,2013,120,1
Union Fire,El Dorado,38.682378,-120.839075,2013,116,1
Cleghorn Fire,San Bernardino,34.287,-117.451,2013,110,
Clinton Fire,Fresno,36.772425,-119.628389,2013,108,
Freeman Fire,Monterey,36.1531,-120.8973,2013,105,
Bee Fire,Los Angeles,0,0,2013,100,
Murphy Fire,Tuolumne,37.91529,-120.33313,2013,100,
Border Fire,San Diego,32.564465,-116.900368,2013,100,
Highland Fire,Mendocino,38.9252,-122.966,2013,98,
Davis Creek Complex,Modoc,41.73325,-120.375,2013,97,
Little Fire,San Bernardino,33.642,-116.706,2013,97,
Coyote Fire,Lassen,40.88886,-120.958126,2013,97,
Roadrunner Fire,Amador,38.27783,-120.966016,2013,96,
Creek Fire,San Luis Obispo,35.4393,-120.8358,2013,94,
Branch Fire,Butte,39.6612,-121.50354,2013,92,
Lilly 2 Fire,Madera,37.1927,-119.7917,2013,91,1
Water Fire,Riverside,33.9582,-116.6534,2013,90,
Adelaida Fire,San Luis Obispo,35.62743,-120.83417,2013,85,
Retek Fire,Mendocino,39.0442,-123.1478,2013,82,
Centerville Fire,Butte,39.731878,-121.713938,2013,80,
Butte Fire,Fresno,0,0,2013,80,
Tehama Fire,Tehama,0,0,2013,75,
Silverwood Fire,San Bernardino,34.316,-117.352,2013,75,
Revis Fire,Madera,37.169379,-119.75636,2013,75,
Lytle Fire,San Bernardino,34.1834,-117.4408,2013,75,1
Silverado Fire,Napa,38.441792,-122.350844,2013,75,
Liveoak Fire,San Bernardino,34.003151,-117.106075,2013,73,
McGanney Fire,Yuba,39.206,-121.31634,2013,73,
Cedar Fire,Butte,0,0,2013,72,
Double Fire,Lake,39.013682,-122.491894,2013,70,
Rail Fire,Modoc,41.569,-120.959,2013,68,
Wheeler Fire,Ventura,34.384,-119.13249,2013,64,
Tram Fire,Riverside,38.838,-116.61,2013,60,
Relay Fire,Riverside,33.91027,-116.99895,2013,60,
Tyler Fire,Nevada,39.333401,-121.107022,2013,52,
Toro Fire,San Luis Obispo,35.457978,-120.751555,2013,51,
Bruner Fire,Lake,39.0448,-122.7656,2013,50,
Cottonwood Fire,Siskiyou,41.923323,-122.578393,2013,50,
Uvas Fire,Santa Clara,37.1438,-121.7804,2013,50,
Grant Fire,Alameda,37.7393,-121.5869,2013,50,
Homestead Fire,San Luis Obispo,35.5123,-120.6368,2013,50,
Bridges Fire,Calaveras,38.06231,-120.45233,2013,46,
Sierra Fire,Fresno,37.03087,-119.463757,2013,46,
Pratt Fire,Mendocino,38.980846,-123.067671,2013,45,
Happy Camp Fire,Ventura,0,0,2013,44,
Fiddler Fire,Shasta,40.373,-122.7338,2013,43,
Viper Fire,Riverside,33.96936,-117.1265,2013,42,
Chestnut Fire,San Mateo,37.667295,-122.427285,2013,41,
Grant Fire,Santa Clara,37.342186,-121.717706,2013,40,
Baker Fire,Orange,33.7655,-117.6649,2013,40,
Valley Fire,San Diego,0,0,2013,40,
Pierce Fire,Riverside,33.570291,-116.10815,2013,40,
Trout Fire,Siskiyou,0,0,2013,40,
Heacock Fire,Riverside,33.9634,-117.2508,2013,40,
Palmyrita Fire,Riverside,34.001745,-117.302057,2013,40,
54 Fire,Riverside,33.655638,-116.161201,2013,40,
Empire Fire,El Dorado,38.89555,-120.84716,2013,38,
Indian Fire,Lake,39.1591,-122.5906,2013,38,
Fallon Fire,Alameda,37.74241,-121.86216,2013,38,
Michelle Fire,Fresno,36.763367,-119.558244,2013,35,
Cottontail Fire,San Luis Obispo,35.49864,-120.91375,2013,35,
Honey Fire,Shasta,0,0,2013,34,
Dersch Fire,Shasta,40.483662,-122.140914,2013,33,
Chuckwagon Fire,Calaveras,37.965364,-120.696362,2013,31,
Lakeshore Fire,Lake,38.9777,-122.683,2013,30,
Lake Fire,Lake,38.99233,-122.703193,2013,30,
Fawnskin Fire,San Bernardino,34.288877,-116.941311,2013,30,
Sonoma-Lake-Napa Unit Lightning Fires,Sonoma,38.4229,-122.0437,2013,28,
Sonoma-Lake-Napa Unit Lightning Fires,Solano,38.4229,-122.0437,2013,28,
Sonoma-Lake-Napa Unit Lightning Fires,Lake,38.4229,-122.0437,2013,28,
Sonoma-Lake-Napa Unit Lightning Fires,Colusa,38.4229,-122.0437,2013,28,
Cloverdale Fire,Shasta,40.473356,-122.48259,2013,27,
Flume Fire,San Diego,32.612773,-116.707335,2013,25,
Mount Fire,Lake,38.98058,-122.81796,2013,25,
Cherry Fire,Riverside,33.96201,-116.907213,2013,25,
Dam Fire,Lake,38.9289,-122.5818,2013,23,
Refuse Fire,Mendocino,0,0,2013,15,
Gilman Fire,Riverside,33.94528,-117.09306,2013,15,
Ranger Fire,Madera,0,0,2013,15,
Orleans Complex,Humboldt,41.333,-123.376,2013,0,
Hathaway Fire,Riverside,33.99647,-116.84137,2013,0,
King Fire,El Dorado,38.805437,-120.629714,2014,97717,80
July Complex,Siskiyou,0,0,2014,50042,
Bald Fire,Shasta,40.901,-121.368,2014,39736,
Oregon Gulch Fire (part of the Beaver Complex),Siskiyou,42.048,-122.345,2014,35302,
Beaver Fire,Siskiyou,0,0,2014,32496,
Eiler Fire,Shasta,40.72,-121.562,2014,32416,21
Pulgas Fire,San Diego,0,0,2014,14416,
French Fire,Madera,0,0,2014,13838,
Day Fire,Modoc,41.1336,-121.2144,2014,13153,6
Bully Fire,Shasta,40.4314,-122.750788,2014,12661,20
Lodge Lightning Complex,Mendocino,0,0,2014,12536,
Monticello Fire,Yolo,38.512,-122.104,2014,6488,
Coffee Fire,Shasta,41.141,-122.805,2014,6258,
Little Deer Fire,Siskiyou,41.682,-122.127,2014,5503,
Tomahawk Fire,San Diego,33.3529,-117.284889,2014,5367,
Stoney Fire,Monterey,0,0,2014,4840,
Meadow Fire,Mariposa,0,0,2014,4772,
El Portal Fire,Mariposa,0,0,2014,4689,
Butts Fire,Napa,38.664,-122.454,2014,4300,9
Butts Fire,Lake,38.664,-122.454,2014,4300,9
Sand Fire,Amador,38.5691,-120.7819,2014,4240,67
Sand Fire,El Dorado,38.5691,-120.7819,2014,4240,67
Way Fire,Kern,35.7206,-118.4747,2014,4045,
Shirley Fire,Kern,35.70683,-118.555527,2014,3895,
Etiwanda Fire,San Bernardino,34.169346,-117.547374,2014,2143,0
Cocos Fire,San Diego,33.1137,-117.1599,2014,1995,40
Colby Fire,Los Angeles,34.1703,-117.8816,2014,1952,
Nicolls Fire ,Kern,35.642,-118.15,2014,1680,
Modoc Lightning Complex,Modoc,41.89,-120.79,2014,1651,
Bernardo Fire,San Diego,33.003,-117.133,2014,1548,
Gulch Fire,Modoc,41.489,-120.904,2014,1469,
San Mateo Fire,San Diego,33.417572,-117.550567,2014,1457,
Gulch Fire,Shasta,40.7101,-122.171,2014,1375,4
Dark Hole Fire,Mariposa,0,0,2014,1080,
Silverado Fire,Orange,33.748,-117.601,2014,968,
Campbell Fire,Tehama,40.134597,-121.790183,2014,865,
Hunters Fire,Mariposa,0,0,2014,677,3
Miguelito Fire,Santa Barbara,34.609,-120.454,2014,632,
Junction Fire,Madera,37.3433,-119.6581,2014,612,47
Poinsettia Fire,San Diego,33.1109,-117.279,2014,600,
Oregon Fire,Trinity,40.7412,-122.946,2014,580,1
Boles Fire,Siskiyou,41.42384,-122.37432,2014,516,165
59 Fire,Tuolumne,37.76617,-120.45087,2014,487,
Applegate Fire,Placer,0,0,2014,459,10
Black Fire,Mendocino,0,0,2014,403,11
Encinal Fire,Monterey,36.6313,-121.4819,2014,400,
Web Fire,Butte,0,0,2014,389,
Highway Fire,San Diego,33.312,-117.162,2014,380,
Pierce Fire,Riverside,0,0,2014,350,
Red Fire,Humboldt,40.884415,-123.773779,2014,333,
Courtney Fire,Madera,37.311915,-119.604124,2014,320,69
Dog Rock Fire,Mariposa,37,40.34,2014,311,
Bridge Fire,Mariposa,0,0,2014,300,
Gun Club Fire,Merced,0,0,2014,300,
Tecolote Fire,Los Angeles,34.267,-117.867,2014,274,
Hetch Hetchy Fire,Tuolumne,37.787,-120.452,2014,269,
Dog Bar Fire,Nevada,39.113682,-120.999508,2014,247,
Tehama Fire,Tehama,40.009827,-122.345078,2014,225,
Banner Fire,San Diego,33.078948,-116.576454,2014,217,3
Bald Hill 3 Fire,Humboldt,41.134,-123.753,2014,210,
Shoemaker Fire,Los Angeles,34.235,-117.771,2014,190,
Indian Fire,Lake,39.1647,-122.5983,2014,175,
Dry Fire,Shasta,40.6569,-122.2215,2014,143,
Haigh Fire,Mariposa,37.7103,-120.197,2014,130,
Curie Fire,Santa Clara,0,0,2014,125,
Gun Fire,San Diego,32.81,-116.49,2014,125,
Reed Fire,Calaveras,120.679019,38.178241,2014,120,
Brewer Fire,Placer,0,0,2014,120,
Bridges Fire,Inyo,37.399,-118.352,2014,113,
Lake Fire,Fresno,36.8266,-119.3415,2014,106,
River Fire,San Diego,0,0,2014,105,
Little Fire,Modoc,41.507,-121.266,2014,101,
Saratoga Fire,Lake,0,0,2014,100,
Interstate Fire,Riverside,0,0,2014,100,
Irene Fire,El Dorado,38.59,-120.028,2014,94,
Valley Fire,Mariposa,0,0,2014,90,
Oak Fire,Calaveras,38.058,-120.66,2014,85,1
Boca Fire,Nevada,39.3918,-120.0805,2014,84,
Casa Fire,Santa Clara,0,0,2014,80,
Marsh Fire,Contra Costa,37.5359,-121.5118,2014,80,
Montgomery Fire,Mariposa,0,0,2014,79,
Sabina Fire,Riverside,0,0,2014,78,
Cassel Fire,Shasta,40.5719,-121.3415,2014,75,
San Lucas Fire,Monterey,36.103,-121.117,2014,75,
Wildlife Fire,Butte,39.4664,-121.6129,2014,72,
Jackson Fire,Tuolumne,37.8316,-120.3434,2014,70,
Ranch Fire,Kern,0,0,2014,70,
Norman Fire,Solano,121.999,38.453,2014,70,
June Fire,Inyo,0,0,2014,65,
Nelson Fire,Mendocino,0,0,2014,62,
Honcut Fire,Butte,0,0,2014,60,
Van Buren Fire,Riverside,33.5982,-116.1985,2014,57,
Freeway Fire ,San Diego,0,0,2014,56,
Fiddler Fire,Shasta,40.39,-122.721,2014,50,
Bane Fire,San Bernardino,33.93869,-117.70643,2014,48,
Interlake Fire,San Luis Obispo,35.8218,-121.0226,2014,47,
Morgan Fire,Fresno,36.991825,-119.525506,2014,40,1
Hutto Fire,Nevada,39.1871,-121.2687,2014,38,
McClellan Fire,Humboldt,0,0,2014,37,
Lake Fire,Stanislaus,0,0,2014,37,
Bogart Fire,Riverside,0,0,2014,31,
Siskiyou County Lightning Fires,Siskiyou,0,0,2014,30,
Bible Fire,El Dorado,38.608336,-120.703238,2014,30,
Jacumba Fire,San Diego,32.665,-116.222,2014,29,
Stage Coach Fire,Napa,38.695961,-122.384054,2014,27,
Foothill Fire ,Ventura,0,0,2014,25,
Leopard Fire,Shasta,40,29.24,2014,25,
Hall Fire,Fresno,36.742747,-119.241493,2014,25,
Cascade Fire,El Dorado,38.9195001,-120.1140659,2014,20,
Border Fire,San Diego,32.59154,-116.89516,2014,20,
Bridge Fire,Humboldt,0,0,2014,18,
West Fire,Trinity,40.41,-123.24,2014,15,
Iowa Fire,Placer,0,0,2014,14,
Santa Fire,Riverside,0,0,2014,14,
Pines Fire,Madera,37,18.4,2014,10,
South Napa Earthquake,Napa,0,0,2014,6,
Happy Camp Complex,Siskiyou,41.796,-123.374,2014,0,
Rough Fire ,Fresno,36.874,-118.905,2015,151623,
River Complex,Trinity,0,0,2015,77081,
Rocky Fire,Lake,38.8863538,-122.4762475,2015,69438,96
Fork Complex,Trinity,0,0,2015,36503,
Lake Fire,San Bernardino,34.16027778,-116.8927778,2015,31359,
Gasquet Complex,Del Norte,0,0,2015,30361,
South Complex,Trinity,0,0,2015,29416,
Jerusalem Fire,Lake,38.8142503,-122.4867319,2015,25118,27
Jerusalem Fire,Napa,38.8142503,-122.4867319,2015,25118,27
Dodge Fire,Lassen,40.938,-120.105,2015,10570,
Nickowitz Fire,Del Norte,0,0,2015,7509,
Round Fire,Inyo,0,0,2015,7000,40
Round Fire,Mono,0,0,2015,7000,40
Cabin Fire,Tulare,36.24,-118.54,2015,6980,
Willow Fire,Madera,37.279722,-119.50014,2015,5702,
Humboldt Lightning Fires,Humboldt,0,0,2015,4883,7
Frog Fire,Modoc,41.399,-121.392,2015,4863,
North Fire,San Bernardino,34.339,-117.478,2015,4250,68
Walker Fire,Mono,0,0,2015,3676,
Tesla Fire,Alameda,37.3845,-121.3732,2015,2700,
Cuesta Fire,San Luis Obispo,35.3477,-120.6269,2015,2446,1
Lowell Fire,Nevada,39.192088,-120.882313,2015,2304,2
Horno Fire,San Diego,0,0,2015,1850,
Park Hill Fire,San Luis Obispo,0,0,2015,1791,23
Saddle Fire ,Trinity,40.924,-123.168,2015,1542,
Creek Fire,Merced,0,0,2015,1450,
McCabe Fire,Merced,0,0,2015,1333,
Tassajara Fire,Monterey,36.3699644,-121.589554,2015,1086,20
Highway Fire,Riverside,33.884313,-117.642759,2015,1049,
Lumpkin Fire,Butte,39.5218,-121.3363,2015,1042,
Corrine Fire,Madera,37.165767,-119.523943,2015,920,3
Meridian Fire,Butte,0,0,2015,860,
Elk Fire,Lake,55.23,-122,2015,673,
Cienega Fire,San Benito,36.70854,-121.32734,2015,670,
Anza Fire,Riverside,33.5736,-116.5387,2015,543,
Van Dyke Fire,Mono,0,0,2015,509,
Sky Fire,Madera,0,0,2015,500,
Triple Fire,Tulare,36.085212,-118.824235,2015,430,
Tenaya Fire,Mariposa,0,0,2015,415,
Calgrove Fire ,Los Angeles,34.361007,-118.535793,2015,415,
Swedes Fire,Butte,39.43963,-121.38794,2015,400,16
Lincoln Fire,Los Angeles,0,0,2015,374,
Ione Fire,Amador,0,0,2015,355,
Warm Fire,Los Angeles,0,0,2015,300,
Site Fire,Alameda,0,0,2015,300,
Chorro Fire,Ventura,0,0,2015,282,
Forebay Fire,Merced,37.08312,-121.06963,2015,275,
Christensen Fire,Alameda,0,0,2015,242,
Mendocino National Forest Lightning Complex,Mendocino,0,0,2015,227,
Pacheco Fire,Santa Clara,0,0,2015,215,
Peterson Fire,Lake,38.925764,-122.879272,2015,215,
241 Fire,Orange,33.7626,-117.7274,2015,214,
China Fire,Shasta,40.415108,-122.439939,2015,212,5
Mesa Fire,Santa Barbara,0,0,2015,211,
Big Creek Fire,Tuolumne,37.823,-120.15644,2015,204,
Pines Fire ,Los Angeles,34.367,-117.683,2015,200,
Stephens Fire,Siskiyou,41.485,-121.851,2015,200,
Vasco Fire,Contra Costa,37.81629,-121.68113,2015,195,
Rustic Fire,Ventura,0,0,2015,186,
Cooley Fire,Siskiyou,41.8048,-122.5029,2015,181,
Wildcat Fire,San Diego,32.9421,-116.8534,2015,171,
Creek Fire,Fresno,40.400196,-120.553075,2015,170,
Black Fire,Tehama,39.8448,-122.3638,2015,170,
Flat Fire ,Kern,0,0,2015,167,
Cutca Fire,San Diego,33.383889,-116.868611,2015,167,
River Fire,Ventura,0,0,2015,164,
Queen Fire,Humboldt,41.295667,-123.784067,2015,158,
Cook Fire,Yuba,39.2688,-121.26471,2015,158,
Sky Fire,Solano,38.4113,-122.0789,2015,150,
Merwin Fire,Riverside,0,0,2015,150,
Horse Fire,Humboldt,40.1058823,-124.0720419,2015,146,
Ward Fire,Plumas,40.05083333,-120.7016667,2015,137,
Red Fire,Madera,37.072561,-119.6958,2015,135,
Democrat Fire,Trinity,40.724898,-122.96174,2015,128,
Collier Fire,San Joaquin,0,0,2015,122,
3-11 Fire,Modoc,41.29226,-121.172117,2015,116,
Mark Fire,Calaveras,38.052,-120.5577,2015,114,
Tulloch Fire,Tuolumne,37.83618,-120.61691,2015,112,
Shinn Fire,Lassen,0,0,2015,111,
Apple Fire,Sacramento,0,0,2015,110,
36 Fire,Tehama,40.3506868,-121.7786799,2015,110,1
Riosa Fire,Placer,0,0,2015,110,
Walker Fire,Shasta,40.47512,-122.52541,2015,109,
Oak Fire,Tuolumne,38.04684,-120.30188,2015,108,3
Munjar Fire,Butte,39.8707,-121.8938,2015,104,
Sterling Fire,San Bernardino,34.165974,-117.243878,2015,100,
Laureles Fire,Monterey,36.5696373,-121.7556029,2015,95,
Deer Fire,San Luis Obispo,35.7183,-121.0157,2015,95,
Sprig Fire,Shasta,40.49865,-122.20109,2015,90,
Advance Fire,Tulare,36.49845,-118.9009,2015,86,
Otay Fire,San Diego,32.6449163,-116.9454387,2015,80,
Harrison Fire,Riverside,0,0,2015,80,
3-12 Fire,Modoc,40.856422,-121.101623,2015,77,
Fern Fire,Shasta,40.67868,-121.93244,2015,75,
Mallard Fire,Shasta,40.509552,-122.199227,2015,75,1
Kyburz Fire,El Dorado,38.776,-120.404,2015,75,
Webb Fire,Butte,0,0,2015,75,
Olive Fire,Butte,26.42,-121,2015,72,1
Prairie Fire,Siskiyou,0,0,2015,69,
Pass Fire,Kern,35.77937,-120.19482,2015,67,
Scales Fire,San Bernardino,0,0,2015,65,
Kerkhoff Fire,Fresno,0,0,2015,60,
Dixie Fire,Lassen,40.875667,-121.033667,2015,60,
Grapefruit Fire,Riverside,0,0,2015,60,
Triangle Fire,Mariposa,0,0,2015,60,
North Fire,Amador,38.260777,-121.135426,2015,60,
Point Fire,Shasta,40.3929,-122.40546,2015,59,
Military Fire,Siskiyou,0,0,2015,58,
Summit Fire,San Bernardino,34.23,-116.883,2015,55,
De Luz Fire,San Diego,33.4115972,-117.2886249,2015,55,
Fork Fire,Tehama,40.0133,-122.552,2015,55,
Mill 2 Fire,San Bernardino,34.0783472,-117.0487863,2015,54,
Tesla Fire,Alameda,0,0,2015,53,
White Fire,Santa Barbara,34.9522,-120.2903,2015,52,
Potrero Fire,Ventura,34.15,-118.879444,2015,50,
Mendocino Lightning Fires,Mendocino,39.43301,-123.36316,2015,50,
Antelope Fire,Kern,0,0,2015,45,
Geary Fire,Alameda,0,0,2015,45,
FKU Lightning Fires,Fresno,0,0,2015,45,
Mason Fire ,Modoc,0,0,2015,43,
Highway Fire,Santa Clara,0,0,2015,42,
Center Fire,Lassen,40.400196,-120.553075,2015,40,
Sullivan Fire,Stanislaus,37.24523,-121.20324,2015,40,
Ascot Fire,Solano,38.1029,-122.1578,2015,40,
Chiles Fire,Napa,38.5287,-122.3415,2015,38,
Garage Fire,Napa,0,0,2015,36,
Browns Fire,Trinity,40,41.46,2015,35,
Ranch Fire,El Dorado,0,0,2015,35,
Covelo Fire,Mendocino,39.7806004,-123.248214,2015,35,
McCourtney Fire,Nevada,39.081,-121.194,2015,30,
Kramer Fire ,Lassen,41.12362,-121.194256,2015,30,
Francis Fire,Yuba,39.33303,-121.18735,2015,30,
Banister Fire,Ventura,0,0,2015,29,
Baxter Fire,Placer,38.9361,-121.1548,2015,26,
Park Fire,San Diego,32.682547,-116.51684,2015,25,
Betabel Fire,San Benito,36.8727,-121.5681,2015,25,
Lake Fire,San Diego,33.21407,-116.73472,2015,25,
Buckaroo Fire,El Dorado,0,0,2015,25,
Fox Fire,Mariposa,0,0,2015,25,
Oasis Fire,Lake,0,0,2015,25,
Snow Fire,Riverside,0,0,2015,25,
Dorris Fire,Siskiyou,41.999341,-121.891226,2015,24,
Soda Fire,Mendocino,39.0263,-123.303,2015,23,
Grade Fire,Lake,38.831478,-122.53428,2015,22,
Gibraltar Fire,Santa Barbara,34.4828,-119.63216,2015,21,
Spider Fire,Riverside,33.986204,-117.43942,2015,21,
Bald Fire,Humboldt,41.1513,-123.8292,2015,20,
Pleasure Fire,Napa,38.519132,-122.181878,2015,19,
Keswick Fire,Shasta,40.5953,-122.4397,2015,18,
Buck Fire,Humboldt,40.1093,-123.774,2015,16,
Mad River Complex,Trinity,0,0,2015,0,
Washington Fire,Alpine,38.598056,-119.751944,2015,0,
Soberanes Fire,Monterey,36.45994,-121.89938,2016,132127,
Erskine Fire,Kern,35.6115,-118.45628,2016,48019,
